Eurocode 3 (in accordance with the UK National Annex) (BS EN 10365: 2017),,,,,,,,,,,
,,,,,,,,,,,
"Universal beams (UB), Section properties",,,,,,,,,,,
Detailing & fire parameters,,,,,,,,,,,
,,,,,,,,,,,
Section designation,,,Dimensions for detailing,,,Surface area,,A / V values,,,
,,,End clearance,Notch,,Per metre,Per tonne,,,,
,,,C,N,n,,,Profile 3 sides,Profile 4 sides,Box 3 sides,Box 4 sides
,,,mm,mm,mm,m2,m2,m-1,m-1,m-1,m-1
1016 x 305,x 584,,20,150,94,3.69,6.32,39,44,33,37
,x 494,,18,150,84,3.24,6.56,46,51,38,43
,x 438,,15,150,80,3.17,7.24,51,57,42,48
,x 415,,15,150,76,3.17,7.64,54,60,44,50
,x 393,,14,150,74,3.14,8.00,57,63,47,53
,x 350,,13,152,70,3.13,8.94,64,70,52,59
,x 314,,12,152,66,3.11,9.90,70,78,57,65
,x 272,,10,152,62,3.10,11.4,81,89,66,74
,x 249,,10,152,56,3.08,12.4,88,97,71,81
,x 222,,10,152,52,3.06,13.8,97,108,79,90
914 x 419,x 388,,13,210,62,3.44,8.87,61,70,46,54
,x 343,,12,210,58,3.42,9.96,69,78,51,61
914 x 305,x 576,,20,154,86,3.46,6.00,39,43,31,36
,x 521,,19,154,80,3.17,6.08,42,47,34,39
,x 474,,17,154,74,3.14,6.62,46,52,37,43
,x 425,,15,154,70,3.11,7.32,51,57,41,47
,x 381,,14,154,64,3.09,8.11,57,63,46,52
,x 345,,13,154,60,3.06,8.87,62,69,50,57
,x 313,,13,154,54,3.04,9.71,68,76,55,62
,x 289,,12,156,52,3.01,10.4,73,82,59,67
,x 271,,11,156,50,3.01,11.1,78,87,62,71
,x 253,,11,156,48,2.99,11.8,83,93,66,76
,x 238,,10,156,46,2.99,12.6,88,98,70,80
,x 224,,10,156,44,2.97,13.2,93,104,74,85
,x 201,,10,156,40,2.96,14.7,104,115,82,94
838 x 292,x 226,,10,150,46,2.81,12.4,87,97,69,79
,x 194,,9,150,40,2.79,14.4,101,113,80,92
,x 176,,9,150,38,2.78,15.8,111,124,88,101
762 x 267,x 197,,10,138,42,2.55,13.0,91,102,72,83
,x 173,,9,138,40,2.53,14.6,103,115,81,94
,x 147,,8,138,34,2.51,17.1,120,134,95,109
,x 134,,8,138,32,2.51,18.7,131,147,103,119
686 x 254,x 170,,9,132,40,2.35,13.8,97,108,76,87
,x 152,,9,132,38,2.34,15.4,108,121,84,97
,x 140,,8,132,36,2.33,16.6,117,131,91,105
,x 125,,8,132,32,2.32,18.5,130,146,101,117
