Eurocode 3 (in accordance with the UK National Annex) (BS EN 10365: 2017),,,,,,,,,,,
,,,,,,,,,,,
"Universal columns (UC), Section properties",,,,,,,,,,,
Detailing & fire parameters,,,,,,,,,,,
,,,,,,,,,,,
Section designation,,,Dimensions for detailing,,,Surface area,,A / V values,,,
,,,End clearance,Notch,,Per metre,Per tonne,,,,
,,,C,N,n,,,Profile 3 sides,Profile 4 sides,Box 3 sides,Box 4 sides
,,,mm,mm,mm,m2,m2,m-1,m-1,m-1,m-1
356 x 406,x 1299,,52,198,156,2.88,2.22,15,17,10,13
,x 1202,,50,198,146,2.83,2.35,15,18,11,14
,x 1086,,41,198,140,2.77,2.55,17,20,11,15
,x 990,,38,200,130,2.72,2.75,18,22,12,16
,x 900,,35,200,122,2.67,2.97,19,23,13,17
,x 818,,32,200,112,2.63,3.22,21,25,14,18
,x 744,,30,200,104,2.59,3.48,23,27,15,20
,x 677,,28,200,98,2.55,3.77,25,30,16,21
,x 634,,26,200,94,2.52,3.98,26,31,17,22
,x 592,,25,198,88,2.50,4.22,28,33,18,23
,x 551,,23,200,84,2.48,4.49,29,35,19,25
,x 509,,22,200,78,2.45,4.81,31,38,20,27
,x 467,,20,200,74,2.42,5.18,34,41,22,29
,x 393,,17,200,66,2.38,6.06,39,47,25,33
,x 340,,15,200,60,2.35,6.91,45,54,28,37
,x 287,,13,200,52,2.31,8.05,52,63,32,43
,x 235,,11,200,46,2.28,9.70,63,76,39,52
356 x 368,x 202,,10,190,44,2.19,10.8,71,85,44,58
,x 177,,9,190,40,2.17,12.3,80,96,49,66
,x 153,,8,190,36,2.16,14.1,92,111,56,75
,x 129,,7,190,34,2.14,16.6,108,130,66,88
305 x 305,x 283,,15,158,60,1.94,6.86,45,54,29,38
,x 240,,14,158,54,1.91,7.96,52,62,33,44
,x 198,,12,158,48,1.87,9.44,62,74,39,52
,x 158,,10,158,42,1.84,11.6,76,92,48,64
,x 137,,9,158,38,1.82,13.3,87,105,55,72
,x 118,,8,158,34,1.81,15.4,100,121,62,83
,x 97,,7,158,32,1.79,18.5,121,146,75,100
254 x 254,x 167,,12,134,46,1.58,9.46,62,74,40,52
,x 132,,10,134,38,1.55,11.7,76,92,48,64
,x 107,,8,134,34,1.52,14.2,93,112,58,77
,x 89,,7,134,30,1.50,16.9,110,133,69,91
,x 73,,6,134,28,1.49,20.4,132,160,82,109
203 x 203,x 127,+,11,108,42,1.28,10.0,66,79,43,56
,x 113,+,10,108,38,1.27,11.2,73,87,47,62
,x 100,+,9,108,34,1.25,12.6,82,99,53,69
,x 86,,8,110,32,1.24,14.4,94,113,59,78
,x 71,,7,110,28,1.22,17.2,112,135,71,93
,x 60,,7,110,26,1.21,20.2,131,158,82,109
,x 52,,6,110,24,1.20,23.1,150,180,93,124
,x 46,,6,110,22,1.19,25.8,168,203,104,139
152 x 152,x 51,+,8,84,24,0.935,18.3,119,143,76,100
,x 44,+,7,84,22,0.924,21.0,137,165,87,115
,x 37,,6,84,20,0.912,24.6,161,194,101,134
,x 30,,5,84,18,0.901,30.0,195,235,122,162
,x 23,,5,84,16,0.889,38.7,252,304,157,209
,,,,,,,,,,,
+ These sections are in addition to the range of BS EN 10365 sections,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
This data was downloaded from the Steel for Life Blue Book website (http://www.steelforlifebluebook.co.uk/uc/ec3-ukna/section-properties-detailing-fire-parameters/) on 15/09/2022 at 12:12:44 ,,,,,,,,,,,
"© 2022, SCI. This data is subject to the same terms as defined by the Steel for Life Blue Book website (http://www.steelforlifebluebook.co.uk/about/)",,,,,,,,,,,
